"Empresa";"Filial";"Area";"Dispositivo";"Modelo";"Basename";"Monitoramento";"Sensor";"Tipo Sensor";"valor";"unidade";"data";"id_filial";"id_area";"id_dispositivo";"id_monitoramento";"id_sensor"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T05:26:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T05:36:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T05:46:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T05:56:35.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T06:06:35.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T06:16:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T06:26:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T06:36:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T06:46:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T06:56:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T07:06:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T07:16:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T07:26:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T07:36:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.30";"Milímetros";"2025-12-16T07:46:35.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T07:56:34.000-03:00";"166";"0";"1284";"1514";"14100"
